Wall time,Step,Value
1751428843.992513,8500,3.533058043103665e-05
1751429109.7484436,8525,3.524902058416046e-05
1751429144.5866058,8550,3.516732613206841e-05
1751429179.4199302,8575,3.508550435071811e-05
1751429214.390721,8600,3.5003551602130756e-05
1751429249.4161856,8625,3.4921467886306345e-05
1751429284.4678357,8650,3.4839260479202494e-05
1751429319.438096,8675,3.4756925742840394e-05
1751429354.4124603,8700,3.4674467315198854e-05
1751429389.362194,8725,3.459188519627787e-05
1751429424.4058843,8750,3.450917938607745e-05
1751429459.3876386,8775,3.4426349884597585e-05
1751429494.2767618,8800,3.4343403967795894e-05
1751429529.1559665,8825,3.426033435971476e-05
1751429564.1565075,8850,3.41771483363118e-05
1751429599.0941036,8875,3.409384225960821e-05
1751429634.054765,8900,3.401041976758279e-05
1751429668.9344025,8925,3.392688449821435e-05
1751429703.637492,8950,3.384323281352408e-05
1751429738.2498426,8975,3.3759468351490796e-05
1751429772.2961617,9000,3.367559111211449e-05
1751430038.2449424,9025,3.359160473337397e-05
1751430073.1162758,9050,3.350750557729043e-05
1751430108.0003147,9075,3.3423300919821486e-05
1751430142.966526,9100,3.333898348500952e-05
1751430178.0164468,9125,3.325456418679096e-05
1751430212.99198,9150,3.317003574920818e-05
1751430247.997637,9175,3.308540181024e-05
1751430282.9392924,9200,3.300066600786522e-05
1751430317.6826112,9225,3.291582834208384e-05
1751430352.4327996,9250,3.2830888812895864e-05
1751430387.2869682,9275,3.2745851058280095e-05
1751430422.2468224,9300,3.266071144025773e-05
1751430457.175182,9325,3.257547359680757e-05
1751430492.1512802,9350,3.249013752792962e-05
1751430526.9111705,9375,3.2404706871602684e-05
1751430561.8950233,9400,3.2319181627826765e-05
1751430596.78174,9425,3.223356179660186e-05
1751430631.719982,9450,3.214785101590678e-05
1751430666.7773268,9475,3.2062045647762716e-05
1751430701.7039766,9500,3.197615296812728e-05
1751430968.581284,9525,3.189016933902167e-05
1751431003.4857888,9550,3.1804098398424685e-05
1751431038.3083866,9575,3.171794014633633e-05
1751431073.0855854,9600,3.163169458275661e-05
1751431107.7583127,9625,3.1545361707685515e-05
1751431142.5799859,9650,3.1458948797080666e-05
1751431177.4515517,9675,3.137245221296325e-05
1751431212.3928807,9700,3.1285875593312085e-05
1751431246.2080576,9725,3.119921530014835e-05
1751431281.1470876,9750,3.111247860942967e-05
1751431316.0994458,9775,3.1025661883177236e-05
1751431350.9722579,9800,3.093876512139104e-05
1751431385.804482,9825,3.085179560002871e-05
1751431420.7915447,9850,3.076475331909023e-05
1751431455.8217907,9875,3.067763464059681e-05
1751431490.773396,9900,3.059043956454843e-05
1751431525.7110808,9925,3.0503177185892127e-05
1751431560.6742356,9950,3.0415843866649084e-05
1751431595.5631576,9975,3.0328441425808705e-05
1751431630.6348355,10000,3.0240969863370992e-05
1751431896.5485783,10025,3.0153430998325348e-05
1751431931.4747257,10050,3.0065826649661176e-05
1751431966.3241432,10075,2.9978156817378476e-05
1751432001.162713,10100,2.9890423320466653e-05
1751432036.0616739,10125,2.9802627977915108e-05
1751432071.0111966,10150,2.9714770789723843e-05
1751432106.0056448,10175,2.9626851755892858e-05
1751432140.8492608,10200,2.953887451440096e-05
1751432175.6699588,10225,2.9450839065248147e-05
1751432210.5172424,10250,2.9362747227423824e-05
1751432245.5350144,10275,2.9274599000927992e-05
1751432280.451284,10300,2.918639438576065e-05
1751432315.3691802,10325,2.909813883889001e-05
1751432350.4236674,10350,2.900982872233726e-05
1751432385.347727,10375,2.8921467674081214e-05
1751432420.2290509,10400,2.883305751311127e-05
1751432455.1771512,10425,2.874459642043803e-05
1751432490.1720676,10450,2.8656089853029698e-05
1751432523.9629464,10475,2.856753417290747e-05
1751432558.8805041,10500,2.8478933018050157e-05
1751432824.205894,10525,2.8390288207447156e-05
1751432859.0336978,10550,2.830159974109847e-05
1751432893.9642797,10575,2.8212869437993504e-05
1751432928.7828186,10600,2.8124097298132256e-05
1751432963.7539978,10625,2.803528514050413e-05
1751432998.5706124,10650,2.7946432965109125e-05
1751433033.4584143,10675,2.785754440992605e-05
1751433068.3369913,10700,2.777217741822824e-05
1751433103.292272,10725,2.7683217922458425e-05
1751433138.2801144,10750,2.7594223865889944e-05
1751433173.235676,10775,2.75051970675122e-05
1751433208.1613617,10800,2.741613752732519e-05
1751433243.0509439,10825,2.732704706431832e-05
1751433277.63216,10850,2.7237927497480996e-05
1751433312.4073536,10875,2.7148778826813214e-05
1751433347.2848232,10900,2.706316990952473e-05
1751433382.258116,10925,2.6973968488164246e-05
1751433417.107041,10950,2.688474160095211e-05
1751433451.8262687,10975,2.6795489247888327e-05
1751433486.5742798,11000,2.67062150669517e-05
1751433750.1499152,11025,2.661691905814223e-05
1751433784.9761963,11050,2.652760304044932e-05
1751433819.6857371,11075,2.6438267013872974e-05
1751433854.356979,11100,2.634891279740259e-05
1751433889.0506532,11125,2.6259540391038172e-05
1751433923.8664079,11150,2.617015161376912e-05
1751433958.8005512,11175,2.6080748284584843e-05
1751433993.6659224,11200,2.599133222247474e-05
1751434027.4786627,11225,2.5901901608449407e-05
1751434062.3956997,11250,2.5812461899477057e-05
1751434097.4360301,11275,2.5723009457578883e-05
1751434132.3550665,11300,2.563354792073369e-05
1751434167.0769887,11325,2.5544079107930884e-05
1751434201.734234,11350,2.5454603019170463e-05
